Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance Criteria),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Control Cadence),Custom field (Decision Date),Custom field (Decision ID),Custom field (Decision Outcome),Custom field (Decision Questions),Custom field (Decision Rationale),Custom field (Decision Status),Custom field (Definition Status),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependency Notes),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Evidence Required),Custom field (Exclusions),Custom field (External issue ID),Custom field (Focus Areas),Custom field (Gate ID),Custom field (Gate Status),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Options Considered),Custom field (Parent WBS ID),Custom field (Planning Notes),Custom field (Project overview key),Custom field (Project overview status),Custom field (Purpose),Custom field (Rank),Custom field (Request Type),Custom field (Required Evidence),Custom field (Required Inputs),Custom field (Required Outputs),Custom field (Risk Level),Custom field (Scope),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Unlocks WBS IDs),Custom field (Vulnerability),Custom field (WBS ID),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"Constraints, Feasibility and Design Admissibility",SS-392,10442,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Combine cross-domain limits into a controlled feasible design space.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every constraint has a rule, limit, source Domain, hard/soft status and optimiser treatment.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies admissibility rules to optimisation and RES-ML-OBJ.,{},,,,,Owning Domains' detailed derivations and implementation of constraint handling.,40067,,,,,,,,,,,,,,RES-OPT,Research Deliverable; no lower Jira level is planned. Record citations in res-opt.bib and the research output in res-opt.tex.,,,Combine cross-domain limits into a controlled feasible design space.,0|i000zr:,,"Constraint register, equations and violation consequences.","RES-GEO-CST, RES-STR, RES-PHY, RES-SUS and RES-NUM requirements.",An integrated feasibility and constraint specification.,Medium,"Geometric validity, structural limits, hydrodynamic limits, placement/environmental restrictions, material use, meshability, numerical stability and computational feasibility; hard versus soft constraints.",,,,,,,,,,,,RES-OPT-CST,,,,10384,SS-334,Design Optimisation,To Do,23/Jun/26 10:32 AM
Design of Experiments and Simulation-Sampling Strategy,SS-393,10443,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define how the design and scenario spaces will be sampled efficiently.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Sampling purpose, coverage, balance, invalid-design handling and independence requirements are explicit.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies initial and adaptive datasets to RES-ML and later optimisation.,{},,,,,Executing simulations and active-learning implementation.,40068,,,,,,,,,,,,,,RES-OPT,Research Deliverable; no lower Jira level is planned. Record citations in res-opt.bib and the research output in res-opt.tex.,,,Define how the design and scenario spaces will be sampled efficiently.,0|i000zz:,,"Sampling design, coverage metrics and candidate-allocation plan.","RES-OPT-PRB, RES-DAT-SCN, computational budget and RES-ML-DAT needs.",A design-of-experiments and candidate-sampling specification.,Medium,"Factorial and fractional designs, Latin hypercube, Sobol, random and adaptive sampling, screening, local refinement, scenario balance, invalid-design handling and separate training/test uses.",,,,,,,,,,,,RES-OPT-DOE,,,,10384,SS-334,Design Optimisation,To Do,23/Jun/26 10:32 AM
Optimisation Algorithm Assessment and Selection,SS-394,10444,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Compare and select optimisation methods suited to the design space and evaluation cost.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Selected methods are justified against variable types, objective smoothness, constraints, budget and robustness to failed simulations.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Informs Software and RES-ML-SUR.,{},,,,,Algorithm implementation and final performance results.,40069,,,,,,,,,,,,,,RES-OPT,Research Deliverable; no lower Jira level is planned. Record citations in res-opt.bib and the research output in res-opt.tex.,,,Compare and select optimisation methods suited to the design space and evaluation cost.,0|i00107:,,"Capability matrix, literature comparison and staged strategy.",RES-OPT-PRB/CST/DOE/BUD and expected simulation cost.,An optimisation-method comparison and selected algorithm hierarchy.,Medium,"Gradient-based, derivative-free, evolutionary, population-based, Bayesian and staged hybrid approaches; mixed variables, constraints, parallelism, failures and convergence.",,,,,,,,,,,,RES-OPT-ALG,,,,10384,SS-334,Design Optimisation,To Do,23/Jun/26 10:32 AM
Multi-Objective Trade-Off and Design-Selection Framework,SS-395,10445,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define how competing objectives and Pareto-optimal designs will be interpreted.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The optimiser's role is separated from explicit engineering judgement and preference rules.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Used during later optimisation execution and final design assessment.,{},,,,,Generating the final Pareto front and choosing a final design before evidence exists.,40070,,,,,,,,,,,,,,RES-OPT,Research Deliverable; no lower Jira level is planned. Record citations in res-opt.bib and the research output in res-opt.tex.,,,Define how competing objectives and Pareto-optimal designs will be interpreted.,0|i0010f:,,"Decision framework, visualisation requirements and selection criteria.",RES-OPT-OBJ/CST and stakeholder priorities.,A Pareto-analysis and final design-selection framework.,Medium,"Pareto dominance, front construction, normalisation, trade-off visualisation, knee points, reference points, threshold rules, preference articulation and final selection rationale.",,,,,,,,,,,,RES-OPT-MOO,,,,10384,SS-334,Design Optimisation,To Do,23/Jun/26 10:32 AM
Robust and Uncertainty-Aware Optimisation,SS-396,10446,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Define how designs will be evaluated across plausible events, inputs and model uncertainty.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Nominal, robust and risk-aware formulations are distinguished and computationally feasible strategies are selected.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Informs RES-ML-SUR/GEN and final candidate confirmation.,{},,,,,Full uncertainty propagation at every high-fidelity iteration.,40071,,,,,,,,,,,,,,RES-OPT,Research Deliverable; no lower Jira level is planned. Record citations in res-opt.bib and the research output in res-opt.tex.,,,"Define how designs will be evaluated across plausible events, inputs and model uncertainty.",0|i0010n:,,"Robustness equations, scenario set and computational strategy.","RES-VER-UQ, RES-DAT-SCN/UNC and RES-OPT-OBJ/CST.",A robust optimisation methodology and scenario-aggregation rules.,Medium,"Multiple tsunami severities and events, source/bathymetric/water-level variation, placement and geometry tolerances, material variation, mean/worst-case/risk-aware objectives and scenario aggregation.",,,,,,,,,,,,RES-OPT-ROB,,,,10384,SS-334,Design Optimisation,To Do,23/Jun/26 10:32 AM
"Computational Budget, Convergence and Termination Strategy",SS-397,10447,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Control optimisation effort and define defensible stopping conditions.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Budgets and stopping rules distinguish genuine convergence from noise, poor coverage or surrogate error.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Constrains Software architecture, RES-ML-SUR and later campaigns.",{},,,,,Measured runtime optimisation and execution logs.,40072,,,,,,,,,,,,,,RES-OPT,Research Deliverable; no lower Jira level is planned. Record citations in res-opt.bib and the research output in res-opt.tex.,,,Control optimisation effort and define defensible stopping conditions.,0|i0010v:,,"Budget table, termination logic and diagnostics.","Expected model costs, RES-SUS-CMP and candidate algorithms.",An optimisation-budget and termination specification.,Medium,"Evaluation limits, low/high-fidelity allocation, parallel capacity, failed runs, checkpointing, screening and confirmation budgets, objective/Pareto stagnation and false-convergence diagnostics.",,,,,,,,,,,,RES-OPT-BUD,,,,10384,SS-334,Design Optimisation,To Do,23/Jun/26 10:32 AM
Integrated Optimisation Specification,SS-398,10448,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Consolidate the formal design problem and search methodology.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"The chain from geometry parameter to simulation response, objective/constraint, optimisation decision and selected design is traceable.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Principal input to RES-ML and Software.,{},,,,,Final optimisation execution and final design declaration.,40073,,,,,,,,,,,,,,RES-OPT,Research Deliverable; no lower Jira level is planned. Record citations in res-opt.bib and the research output in res-opt.tex.,,,Consolidate the formal design problem and search methodology.,0|i00113:,,"Integrated specification, design record schema and traceability matrix.",All preceding RES-OPT deliverables.,An authoritative optimisation specification.,Medium,"Design vector, bounds, objectives, constraints, scenarios, sampling, algorithms, multi-objective treatment, robustness, budget, stopping and selection.",,,,,,,,,,,,RES-OPT-SPEC,,,,10384,SS-334,Design Optimisation,To Do,23/Jun/26 10:32 AM
Machine-Learning Role and Use-Case Definition,SS-399,10449,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Select the ML roles that provide a defensible benefit to the project.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Each retained use states target, data, expected advantage, failure consequence, interpretability and uncertainty needs.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Organises all RES-ML deliverables.,{},,,,,Assuming ML must replace physics-based modelling or conventional optimisation.,40074,,,,,,,,,,,,,,RES-ML,Research Deliverable; no lower Jira level is planned. Record citations in res-ml.bib and the research output in res-ml.tex.,,,Select the ML roles that provide a defensible benefit to the project.,0|i0011b:,,Use-case comparison and staged adoption rationale.,"RES-OPT-SPEC, expected simulation cost and available data.",A selected ML use-case hierarchy with non-ML baselines.,Medium,"Forward surrogates, screening/ranking, inverse design, generative geometry, reinforcement learning, multifidelity correction and reduced-order models.",,,,,,,,,,,,RES-ML-ROL,,,,10385,SS-335,Machine-Learning Methodology,To Do,23/Jun/26 10:32 AM
Learning Dataset and Simulation-Data Requirements,SS-400,10450,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Define the schema, provenance, quality controls and partitions of the simulation-derived learning dataset.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Samples are traceable to solver versions and grouped splits prevent leakage; the secondary event remains independent for cross-event assessment.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Informs RES-ML-REP/TRN/GEN and Software data storage.,{},,,,,Environmental data ownership and physical simulation execution.,40075,,,,,,,,,,,,,,RES-ML,Research Deliverable; no lower Jira level is planned. Record citations in res-ml.bib and the research output in res-ml.tex.,,,"Define the schema, provenance, quality controls and partitions of the simulation-derived learning dataset.",0|i0011j:,,"Schema, data-quality rules, partition plan and provenance requirements.","RES-DAT-CAS, RES-OPT-DOE, RES-GEO-SPEC, RES-STR-SPEC and solver-output definitions.",A canonical ML dataset schema and provenance/partitioning strategy.,Medium,"Geometry, arrangement, placement, material, event/scenario, fidelity, mesh, solver version, convergence, outputs, constraints, uncertainty and failure state; primary event development data and secondary event holdout.",,,,,,,,,,,,RES-ML-DAT,,,,10385,SS-335,Machine-Learning Methodology,To Do,23/Jun/26 10:32 AM
"Input, Output and Geometry Representation",SS-401,10451,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Select representations that preserve relevant physics while remaining learnable.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Dimensions, units, normalisation, coordinate dependence, invariances and reconstruction needs are controlled.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies model interfaces to RES-ML-ALG and Software.,{},,,,,Actual geometry generation and final network architecture.,40076,,,,,,,,,,,,,,RES-ML,Research Deliverable; no lower Jira level is planned. Record citations in res-ml.bib and the research output in res-ml.tex.,,,Select representations that preserve relevant physics while remaining learnable.,0|i0011r:,,"Representation comparison, schemas and selection rationale.","RES-GEO-SPEC, RES-DAT variables, RES-OPT objectives and ML use cases.",Selected input/output representations for each retained ML role.,Medium,"Parametric vectors, raster/voxel fields, signed-distance fields, point clouds, graphs, scalar outputs, time series, reduced/full fields and relevant invariances/equivariances.",,,,,,,,,,,,RES-ML-REP,,,,10385,SS-335,Machine-Learning Methodology,To Do,23/Jun/26 10:32 AM
Learning Algorithm and Architecture Assessment,SS-402,10452,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Compare candidate learning methods against dataset size, representation and output complexity.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Selected methods are justified against data volume, output dimensionality, uncertainty, interpretability, extrapolation and implementation cost.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Informs RES-ML-TRN/SUR and Software.,{},,,,,Final hyperparameter tuning and production implementation.,40077,,,,,,,,,,,,,,RES-ML,Research Deliverable; no lower Jira level is planned. Record citations in res-ml.bib and the research output in res-ml.tex.,,,"Compare candidate learning methods against dataset size, representation and output complexity.",0|i0011z:,,"Capability matrix, cited comparison and staged hierarchy.",RES-ML-ROL/DAT/REP and computational budget.,An algorithm comparison and selected model hierarchy.,Medium,"Regression, Gaussian processes, forests, boosting, support-vector methods, feed-forward, convolutional, graph and sequence models, generative methods and physics-guided approaches.",,,,,,,,,,,,RES-ML-ALG,,,,10385,SS-335,Machine-Learning Methodology,To Do,23/Jun/26 10:32 AM
"Loss Functions, Rewards and Physical Constraints",SS-403,10453,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define the training objectives and physical or feasibility constraints applied to learned models.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every component has a definition, weighting/normalisation rationale, failure treatment and known exploit risk.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies training configuration to RES-ML-TRN and Software.,{},,,,,Inventing independent objectives disconnected from the optimisation problem.,40078,,,,,,,,,,,,,,RES-ML,Research Deliverable; no lower Jira level is planned. Record citations in res-ml.bib and the research output in res-ml.tex.,,,Define the training objectives and physical or feasibility constraints applied to learned models.,0|i00127:,,"Loss/reward equations, source mapping and sensitivity requirements.","RES-OPT-OBJ/CST/ROB, RES-VER-MET and selected ML use cases.","A controlled loss, reward and physical-constraint specification.",Medium,"Regression and classification losses, multi-output weighting, normalisation, regularisation, conservation/bounds/geometry constraints and reinforcement-learning rewards derived from RES-OPT.",,,,,,,,,,,,RES-ML-OBJ,,,,10385,SS-335,Machine-Learning Methodology,To Do,23/Jun/26 10:32 AM
"Surrogate, Multifidelity and Active-Learning Strategy",SS-404,10454,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define how learned models can reduce expensive simulation evaluations.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Training domain, fidelity relationships, acquisition criteria, update rules and fallback to direct simulation are defined.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Informs Software orchestration and later optimisation.,{},,,,,Running the active-learning loop and final optimisation campaign.,40079,,,,,,,,,,,,,,RES-ML,Research Deliverable; no lower Jira level is planned. Record citations in res-ml.bib and the research output in res-ml.tex.,,,Define how learned models can reduce expensive simulation evaluations.,0|i0012f:,,"Workflow diagrams, method comparison and data-allocation plan.","RES-MOD-LRG/MUL, RES-OPT-DOE/ALG/BUD/ROB and RES-VER-UQ.","A surrogate hierarchy, multifidelity strategy and active-learning methodology.",Medium,"Low/high-fidelity surrogates, correction models, co-kriging or hierarchical methods, transfer learning, active-learning acquisition, uncertainty-driven sampling and failed-query handling.",,,,,,,,,,,,RES-ML-SUR,,,,10385,SS-335,Machine-Learning Methodology,To Do,23/Jun/26 10:32 AM
